id,price
700010085020140926T000000,437735.7817162572
403740028020140923T000000,469435.5716702847
142340016020140618T000000,152330.1087400288
776740006020141119T000000,663577.5869453567
946590050020140617T000000,875818.4926396653
383125015020150326T000000,633776.7394908816
524540003020150223T000000,181659.64367599887
178200016020140530T000000,343848.6128809149
243620039520140610T000000,866839.6608453552
934870002020140825T000000,975767.4018781646
079700033020150402T000000,376381.23728609475
322204911220150507T000000,649030.5231303371
010920014020150506T000000,477262.7138599912
212504913920140806T000000,861580.3679988151
329180014020141107T000000,240575.6899474968
333300143020140912T000000,638949.7036638234
788360070020150122T000000,163502.76695430395
666241025020150321T000000,571963.1826714457
030500017020140610T000000,690761.7170791752
132505908320140527T000000,517170.67859529756
812210069020140623T000000,504830.78410875896
193730028020141030T000000,489816.63842568855
889870082020140707T000000,187967.35112643297
559290028520141104T000000,668529.9068532677
036900004520141010T000000,589181.1497540711
947700030020140728T000000,544276.5108953197
811860008020150220T000000,499571.4750811778
272205901020140618T000000,699129.7122836455
982820054520140513T000000,551435.600536831
422220021020140522T000000,261546.72910012884
605240163120150205T000000,349713.7550556021
538100041120150410T000000,200313.38510917537
561210006520140529T000000,506600.81960652815
075200003520140520T000000,707026.4465282214
544830015020150105T000000,614195.9597150601
433880060020140609T000000,245034.41820840084
144280040020140628T000000,425458.76172991545
816550151020141125T000000,418057.0336555871
222530058520141120T000000,513379.00929691305
984230003620141008T000000,300948.73210745066
220550040020140514T000000,437744.2289740289
614660017020140703T000000,-2486.4366391144977
169700037020150325T000000,144782.58416534084
865141009020150508T000000,65623.14960564357
675130038520150424T000000,481883.18030858994
684070116020141029T000000,589497.4580333997
363008007020140710T000000,266943.19644955196
150480005020150312T000000,837878.2061673756
743650036020140606T000000,405893.8072425385
042504918120140912T000000,365526.2841227309
556140014020140521T000000,541313.797502195
313410016220140717T000000,739447.6085614315
431570017520140612T000000,433080.6775026856
803270007220150415T000000,369628.16482845444
777200001020150309T000000,609693.5922321696
435870013520141118T000000,729552.7816133038
124500182020150429T000000,545711.6034374905
885600473020140917T000000,276339.77314575174
111800046520150312T000000,1128214.054034394
264140029020141028T000000,376337.4256840099
500600003520150427T000000,213252.32315987026
326020011020141208T000000,798507.9770973217
018500016120141015T000000,305865.84087481326
717020008520150327T000000,419583.3342865283
142308905520140613T000000,823863.3245321132
808340006620150423T000000,728693.987999802
397540026020140902T000000,712192.9404209825
142340022520140721T000000,159925.6278043697
405115007020141223T000000,75693.81827239327
390492073020150427T000000,759705.6667287827
856279015020140626T000000,820018.0112079886
388580610520140521T000000,1176090.4269845714
602150032020150507T000000,535449.0555763516
362996068020140926T000000,414117.32752872206
733460073020141211T000000,181917.40891111523
064330018020140523T000000,495712.6553210083
525570016020140805T000000,783764.48338845
856272042020150430T000000,1431818.2573187624
947720153020150423T000000,436093.77287906554
757570001520140710T000000,813883.1832112569
068200003020140703T000000,673897.2545526285
436470087520140729T000000,252319.26932276564
358275012020140715T000000,672488.9027110491
728710013520141001T000000,528573.3722863317
800160013020150501T000000,407490.9490647399
857090002320141010T000000,206932.64714187424
075100002020140626T000000,334215.59675367945
614560151020140822T000000,438343.4493663439
865144074020150121T000000,258555.4193938932
607160034020141113T000000,559957.0312523871
780290022420140707T000000,641437.7039446296
712930420020141222T000000,306447.21690348856
785337002020141014T000000,715510.7859695251
760580009020150108T000000,810313.7856496816
032205909720141105T000000,328739.5461913569
645030382020140930T000000,271494.73002256436
894639004020140508T000000,404500.4169530175
614660059520150410T000000,191978.65673475078
762570261520150114T000000,122778.44322600258
251710120020140707T000000,292519.61397472135
132172017020140817T000000,1019552.6018892844
006500021020140626T000000,511935.88372167724
132407908220141117T000000,320798.7064674642
117600131020150304T000000,1390584.8565104674
111570004020141201T000000,669113.2660112921
613980039020141006T000000,591216.339677127
436470060020150330T000000,233857.36158851685
109961083020141202T000000,186190.4079555142
926570000520140822T000000,442224.8498661442
722850190320140805T000000,433682.2091613786
278091010020141218T000000,287986.6969002604
195463008020140619T000000,936556.8106838206
725400010020141215T000000,540022.9585967947
001300246020150318T000000,429034.8781275718
422197006020150506T000000,467749.2466909489
082203911120150327T000000,611155.2960770793
612760003620141105T000000,659512.3541291872
730430104520150203T000000,275057.91175174044
684470341020140924T000000,579734.2664725527
510140526520140911T000000,479044.9744711059
722970016520141202T000000,370231.2584129362
911320029020140625T000000,742065.5796327965
721266052020150326T000000,178280.552313263
431920006020140709T000000,877333.5716998678
248500007620150122T000000,1256487.9953244233
638150215520150116T000000,424473.60811045056
362992106020140715T000000,775545.1780271907
142406905620140805T000000,926349.5158492003
155990008020141121T000000,432759.14653223427
278500029020140507T000000,586383.408772282
941840024020141028T000000,467458.53941888746
201380135020150220T000000,159285.60247139056
738530002020140613T000000,758184.859868619
531810050420140728T000000,463619.55466164113
785540033020140604T000000,914145.9971047277
682110235020150109T000000,358504.4488198527
885692011020150504T000000,501128.88290582947
785211069020140522T000000,682020.6649947391
375160078420150403T000000,376698.67198066885
685570008020140714T000000,287986.66887830547
685270052020150406T000000,433601.07866177114
133780106020150305T000000,689820.3874215212
352403914420141007T000000,733408.158422288
322620010520140523T000000,505606.2661934222
312604926120150316T000000,242093.2339055618
712930052020141013T000000,229162.2386174429
022605906520140903T000000,594419.4265393303
927020016020141028T000000,507771.6488006633
104270005020140723T000000,698012.9015919953
332406907020140707T000000,259726.79116006722
